,success_Rate,agent,thinking_steps
0,0.0,1m,5
1,0.0,2m,5
2,0.0,3m,5
3,0.0,4m,5
4,0.0,5m,5
5,0.001,6m,5
6,0.005,7m,5
7,0.009,8m,5
8,0.007,9m,5
9,0.013,10m,5
10,0.029,11m,5
11,0.033,12m,5
12,0.038,13m,5
13,0.071,14m,5
14,0.092,15m,5
15,0.114,16m,5
16,0.1,17m,5
17,0.124,18m,5
18,0.17,19m,5
19,0.17,20m,5
20,0.154,21m,5
21,0.242,22m,5
22,0.169,23m,5
23,0.236,24m,5
24,0.223,25m,5
25,0.172,26m,5
26,0.319,27m,5
27,0.323,28m,5
28,0.389,29m,5
29,0.27,30m,5
30,0.326,31m,5
31,0.322,32m,5
32,0.419,33m,5
33,0.344,34m,5
34,0.393,35m,5
35,0.454,36m,5
36,0.434,37m,5
37,0.454,38m,5
38,0.443,39m,5
39,0.42,40m,5
40,0.42,41m,5
41,0.483,42m,5
42,0.512,43m,5
43,0.505,44m,5
44,0.532,45m,5
45,0.445,46m,5
46,0.532,47m,5
47,0.517,48m,5
48,0.551,49m,5
49,0.832,50m,5
