,success_Rate,agent,thinking_steps
0,0.0,1m,8
1,0.0,2m,8
2,0.0,3m,8
3,0.0,4m,8
4,0.0,5m,8
5,0.0,6m,8
6,0.001,7m,8
7,0.003,8m,8
8,0.005,9m,8
9,0.008,10m,8
10,0.011,11m,8
11,0.019,12m,8
12,0.013,13m,8
13,0.035,14m,8
14,0.049,15m,8
15,0.047,16m,8
16,0.065,17m,8
17,0.073,18m,8
18,0.094,19m,8
19,0.092,20m,8
20,0.091,21m,8
21,0.158,22m,8
22,0.094,23m,8
23,0.146,24m,8
24,0.138,25m,8
25,0.106,26m,8
26,0.235,27m,8
27,0.224,28m,8
28,0.279,29m,8
29,0.179,30m,8
30,0.211,31m,8
31,0.219,32m,8
32,0.32,33m,8
33,0.257,34m,8
34,0.286,35m,8
35,0.326,36m,8
36,0.311,37m,8
37,0.341,38m,8
38,0.323,39m,8
39,0.308,40m,8
40,0.308,41m,8
41,0.362,42m,8
42,0.364,43m,8
43,0.34,44m,8
44,0.412,45m,8
45,0.327,46m,8
46,0.409,47m,8
47,0.357,48m,8
48,0.377,49m,8
49,0.368,50m,8
